degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,num_aggregation,proof_time,proof_size,verify_time
14,211,27,1,13,91,3,2,17.373107041s,95648,21.422708ms
15,105,14,1,14,90,3,2,15.744401125s,48128,12.4685ms
16,50,6,1,15,90,3,2,13.340301583s,22880,7.506583ms
17,25,3,1,16,88,3,2,12.73812725s,11648,4.932166ms
18,13,2,1,17,88,3,2,13.434395583s,6208,3.7465ms
19,6,1,1,18,90,3,2,15.21826175s,3200,3.057958ms
20,3,1,1,19,88,3,2,22.007686708s,2048,2.851541ms
21,2,1,1,20,88,3,2,36.278502708s,1472,2.515541ms
22,1,1,1,21,88,3,2,59.636723708s,1056,2.596541ms
14,211,27,1,13,91,3,20,17.335203708s,98368,22.129125ms
14,211,27,1,13,91,3,200,22.925289416s,126976,26.648958ms
14,211,27,1,13,91,3,2000,74.595058583s,408896,73.529208ms
