degree,num_advice,num_lookup,num_fixed,lookup_bits,limb_bits,num_limbs,num_aggregation,proof_time,proof_size,verify_time
14,211,27,1,13,91,3,2,15.041139041s,95648,22.771166ms
15,105,14,1,14,90,3,2,13.29433525s,48128,11.913791ms
16,50,6,1,15,90,3,2,11.683391041s,22880,8.391625ms
17,25,3,1,16,88,3,2,11.455797s,11648,4.612291ms
18,13,2,1,17,88,3,2,13.211864125s,6208,3.468583ms
19,6,1,1,18,90,3,2,14.135192791s,3200,3.192958ms
20,3,1,1,19,88,3,2,20.451154958s,2048,2.61175ms
21,2,1,1,20,88,3,2,31.980660541s,1472,3.117541ms
22,1,1,1,21,88,3,2,53.669806s,1056,2.201416ms
17,25,3,1,16,88,3,20,12.190018333s,12352,4.973041ms
17,25,3,1,16,88,3,200,14.976316s,15360,5.466708ms
17,25,3,1,16,88,3,2000,44.070915708s,47104,11.90925ms
17,25,3,1,16,88,3,20000,618.576948s,367808,83.927125ms
